iter	Passed	Remaining
399	1975	2962
400	1980	2958
401	1984	2952
402	1989	2946
403	1998	2947
404	2008	2950
405	2018	2952
406	2027	2953
407	2032	2948
408	2037	2944
409	2046	2945
410	2051	2940
411	2055	2933
412	2060	2928
413	2064	2922
414	2068	2915
415	2072	2910
416	2077	2904
417	2081	2898
418	2085	2892
419	2090	2886
420	2094	2881
421	2099	2875
422	2103	2869
423	2107	2863
424	2112	2857
425	2116	2851
426	2120	2845
427	2124	2839
428	2128	2833
429	2132	2827
430	2137	2821
431	2141	2815
432	2145	2809
433	2149	2803
434	2154	2798
435	2158	2792
436	2162	2786
437	2167	2780
438	2171	2774
439	2175	2769
440	2180	2763
441	2184	2757
442	2188	2752
443	2192	2746
444	2197	2740
445	2202	2735
446	2206	2730
447	2211	2724
448	2215	2718
449	2219	2712
450	2223	2707
451	2228	2701
452	2232	2695
453	2236	2689
454	2240	2683
455	2244	2678
456	2249	2672
457	2253	2666
458	2257	2660
459	2262	2655
460	2266	2649
461	2270	2643
462	2274	2638
463	2279	2632
464	2283	2627
465	2287	2621
466	2291	2615
467	2296	2610
468	2300	2604
469	2304	2599
470	2308	2593
471	2312	2587
472	2317	2581
473	2321	2576
474	2325	2570
475	2329	2564
476	2334	2559
477	2338	2554
478	2342	2548
479	2347	2543
480	2351	2537
481	2355	2531
482	2360	2526
483	2364	2520
484	2368	2515
485	2372	2509
486	2376	2503
487	2381	2498
488	2385	2492
489	2389	2487
490	2393	2481
491	2398	2476
492	2402	2470
493	2406	2464
494	2410	2459
495	2414	2453
496	2419	2448
497	2423	2442
498	2427	2436
499	2431	2431
500	2435	2425
501	2439	2420
502	2444	2414
503	2448	2409
504	2452	2403
505	2456	2398
506	2461	2393
507	2465	2387
508	2469	2382
509	2473	2376
510	2477	2370
511	2481	2365
512	2485	2359
513	2489	2354
514	2493	2348
515	2497	2342
516	2501	2337
517	2506	2332
518	2510	2326
519	2514	2320
520	2518	2315
521	2522	2309
522	2526	2304
523	2530	2299
524	2534	2293
525	2539	2287
526	2543	2282
527	2547	2276
528	2551	2271
529	2555	2265
530	2559	2260
531	2563	2254
532	2567	2249
533	2571	2244
534	2575	2238
535	2579	2233
536	2583	2227
537	2587	2222
538	2592	2216
539	2596	2211
540	2600	2206
541	2604	2200
542	2608	2195
543	2612	2189
544	2616	2184
545	2620	2179
546	2624	2173
547	2628	2168
548	2632	2162
549	2636	2157
550	2641	2152
551	2645	2146
552	2649	2141
553	2653	2135
554	2657	2130
555	2663	2126
556	2667	2121
557	2671	2115
558	2675	2110
559	2679	2105
560	2683	2099
561	2687	2094
562	2691	2088
563	2695	2083
564	2699	2078
565	2703	2072
566	2707	2067
567	2711	2062
568	2715	2056
569	2719	2051
570	2724	2046
571	2728	2041
572	2732	2036
573	2737	2031
574	2742	2026
575	2746	2022
576	2751	2017
577	2756	2012
578	2761	2008
579	2766	2003
580	2771	1998
581	2776	1994
582	2781	1989
583	2785	1984
584	2790	1979
585	2794	1974
586	2799	1969
587	2803	1964
588	2808	1959
589	2812	1954
590	2817	1949
591	2821	1944
592	2825	1939
593	2829	1934
594	2833	1928
595	2837	1923
596	2841	1918
597	2846	1913
598	2850	1907
599	2854	1902
600	2858	1897
601	2862	1892
602	2866	1886
603	2869	1881
604	2873	1876
605	2877	1871
606	2882	1865
607	2886	1860
608	2890	1855
609	2894	1850
610	2898	1845
611	2902	1839
612	2906	1834
613	2910	1829
614	2914	1824
615	2918	1819
616	2922	1814
617	2926	1808
618	2930	1803
619	2934	1798
620	2938	1793
621	2942	1788
622	2946	1783
623	2950	1778
624	2954	1772
625	2959	1768
626	2963	1763
627	2968	1758
628	2972	1753
629	2976	1748
630	2980	1743
631	2984	1738
632	2989	1733
633	2993	1728
634	3000	1724
635	3004	1719
636	3011	1715
637	3016	1711
638	3022	1707
639	3028	1703
640	3033	1698
641	3037	1693
642	3042	1689
643	3046	1684
644	3051	1679
645	3056	1674
646	3060	1669
647	3064	1664
648	3069	1659
649	3073	1655
650	3078	1650
651	3083	1645
652	3087	1640
653	3091	1635
654	3096	1630
655	3100	1625
656	3104	1620
657	3108	1615
658	3113	1610
659	3117	1605
660	3121	1600
661	3126	1596
662	3130	1591
663	3135	1586
664	3139	1581
665	3144	1576
666	3148	1571
667	3152	1566
668	3157	1562
669	3161	1557
670	3166	1552
671	3170	1547
672	3175	1542
673	3179	1537
674	3183	1532
675	3191	1529
676	3198	1526
677	3203	1521
678	3208	1516
679	3212	1511
680	3216	1506
681	3220	1501
682	3224	1496
683	3230	1492
684	3234	1487
685	3239	1482
686	3243	1477
687	3247	1472
688	3252	1467
689	3255	1462
690	3261	1458
691	3265	1453
692	3270	1448
693	3274	1443
694	3278	1438
695	3283	1433
696	3287	1428
697	3291	1424
698	3296	1419
699	3300	1414
700	3304	1409
701	3308	1404
702	3313	1399
703	3317	1394
704	3322	1390
705	3326	1385
706	3330	1380
707	3334	1375
708	3338	1370
709	3342	1365
710	3346	1360
711	3351	1355
712	3355	1350
713	3359	1345
714	3364	1340
715	3368	1335
716	3372	1331
717	3376	1326
718	3381	1321
719	3385	1316
720	3389	1311
721	3394	1307
722	3398	1302
723	3402	1297
724	3406	1292
725	3410	1287
726	3415	1282
727	3419	1277
728	3424	1273
729	3428	1268
730	3433	1263
731	3437	1258
732	3441	1253
733	3445	1248
734	3449	1243
735	3453	1238
736	3457	1233
737	3462	1229
738	3466	1224
739	3470	1219
740	3474	1214
741	3478	1209
742	3482	1204
743	3487	1199
744	3491	1195
745	3495	1190
746	3500	1185
747	3504	1180
748	3508	1175
749	3512	1170
750	3516	1166
751	3521	1161
752	3525	1156
753	3530	1151
754	3534	1146
755	3538	1142
756	3542	1137
757	3547	1132
758	3551	1127
759	3555	1122
760	3559	1117
761	3564	1113
762	3568	1108
763	3573	1103
764	3577	1098
765	3581	1094
766	3585	1089
767	3589	1084
768	3594	1079
769	3598	1074
770	3602	1069
771	3606	1065
772	3611	1060
773	3615	1055
774	3619	1050
775	3623	1045
776	3627	1041
777	3631	1036
778	3635	1031
779	3639	1026
780	3646	1022
781	3651	1017
782	3655	1013
783	3659	1008
784	3663	1003
785	3667	998
786	3671	993
787	3675	988
788	3679	984
789	3683	979
790	3687	974
791	3691	969
792	3695	964
793	3700	959
794	3704	955
795	3708	950
796	3712	945
797	3716	940
798	3720	935
799	3724	931
800	3728	926
801	3732	921
802	3736	916
803	3740	911
804	3744	907
805	3748	902
806	3752	897
807	3757	892
808	3761	887
809	3765	883
810	3769	878
811	3773	873
812	3777	868
813	3781	864
814	3785	859
815	3789	854
816	3793	849
817	3797	845
818	3801	840
819	3805	835
820	3810	830
821	3814	825
822	3818	821
823	3822	816
824	3826	811
825	3830	806
826	3834	802
827	3838	797
828	3843	792
829	3847	787
830	3851	783
831	3855	778
832	3859	773
833	3863	768
834	3868	764
835	3872	759
836	3876	755
837	3882	750
838	3886	745
839	3891	741
840	3895	736
841	3899	731
842	3906	727
843	3914	723
844	3921	719
845	3929	715
846	3937	711
847	3945	707
848	3952	702
849	3960	698
850	3968	694
851	3975	690
852	3983	686
853	3991	682
854	3998	678
855	4002	673
856	4006	668
857	4011	663
858	4015	659
859	4020	654
860	4026	649
861	4031	645
862	4036	640
863	4040	636
864	4044	631
865	4048	626
866	4053	621
867	4057	616
868	4061	612
869	4065	607
870	4069	602
871	4074	598
872	4078	593
873	4083	588
874	4088	584
875	4092	579
876	4096	574
877	4101	569
878	4105	565
879	4110	560
880	4114	555
881	4118	551
882	4122	546
883	4127	541
884	4131	536
885	4136	532
886	4140	527
887	4145	522
888	4149	518
889	4153	513
890	4157	508
891	4161	503
892	4166	499
893	4170	494
894	4174	489
895	4179	485
896	4183	480
897	4187	475
898	4191	470
899	4196	466
900	4200	461
901	4204	456
902	4209	452
903	4214	447
904	4218	442
905	4222	438
906	4227	433
907	4231	428
908	4235	424
909	4239	419
910	4243	414
911	4248	409
912	4252	405
913	4256	400
914	4261	395
915	4265	391
916	4269	386
917	4273	381
918	4277	377
919	4282	372
920	4286	367
921	4290	363
922	4295	358
923	4299	353
924	4303	348
925	4307	344
926	4312	339
927	4316	334
928	4321	330
929	4325	325
930	4330	320
931	4338	316
932	4347	312
933	4354	307
934	4363	303
935	4368	298
936	4377	294
937	4383	289
938	4387	285
939	4392	280
940	4397	275
941	4401	270
942	4406	266
943	4410	261
944	4415	256
945	4419	252
946	4423	247
947	4428	242
948	4432	238
949	4436	233
950	4440	228
951	4445	224
952	4449	219
953	4453	214
954	4461	210
955	4469	205
956	4477	201
957	4486	196
958	4490	191
959	4495	187
960	4499	182
961	4503	177
962	4507	173
963	4511	168
964	4515	163
965	4519	159
966	4523	154
967	4528	149
968	4532	144
969	4536	140
970	4540	135
971	4544	130
972	4548	126
973	4552	121
974	4556	116
975	4560	112
976	4565	107
977	4569	102
978	4573	98
979	4577	93
980	4581	88
981	4585	84
982	4589	79
983	4593	74
984	4597	70
985	4601	65
986	4605	60
987	4609	55
988	4613	51
989	4617	46
990	4623	41
991	4627	37
992	4631	32
993	4635	27
994	4639	23
995	4644	18
996	4648	13
997	4652	9
998	4656	4
999	4660	0
