iter	Logloss
0	0.6769593049
1	0.662573769
2	0.6485369623
3	0.634614961
4	0.6210181345
5	0.6078842648
6	0.5944500961
7	0.5822239617
8	0.5699572224
9	0.5575647902
10	0.5472763935
11	0.5360569821
12	0.5255350944
13	0.5161174828
14	0.5077522742
15	0.4991002538
16	0.4907891559
17	0.4820579732
18	0.4744677998
19	0.4670906119
20	0.4599689916
21	0.4533518368
22	0.4475259372
23	0.4409720759
24	0.4355856665
25	0.4300150538
26	0.4228702689
27	0.4177228244
28	0.4129076939
29	0.4074225094
30	0.4016308098
31	0.3975878047
32	0.393406473
33	0.3887199687
34	0.3851221083
35	0.3810444794
36	0.373790928
37	0.3694511647
38	0.365839682
39	0.3612686522
40	0.3558471695
41	0.3507091997
42	0.3475497704
43	0.3443936779
44	0.3417873781
45	0.3363066891
46	0.3337404526
47	0.3307148685
48	0.3280040122
49	0.3251229863
50	0.3202785625
51	0.3184027502
52	0.315288932
53	0.3108114342
54	0.3087483937
55	0.3071616662
56	0.3043525945
57	0.3025321043
58	0.2990501877
59	0.2953453345
60	0.292945193
61	0.2909237388
62	0.28921721
63	0.2874340311
64	0.2839752041
65	0.2826582188
66	0.2811067777
67	0.2777020669
68	0.2766203633
69	0.2749392194
70	0.2712025415
71	0.2695265045
72	0.2681573124
73	0.2665875252
74	0.2646719744
75	0.2636702444
76	0.2626966005
77	0.2615148742
78	0.2599946087
79	0.2586119159
80	0.2571570467
81	0.2551595227
82	0.2544198467
83	0.2525800524
84	0.2514895597
85	0.2499844756
86	0.248337331
87	0.2472744404
88	0.2457784346
89	0.2443989043
90	0.2435241198
91	0.2417048118
92	0.2401669469
93	0.2394285333
94	0.2381888936
95	0.2374443904
96	0.2351796775
97	0.2339478077
98	0.2320837421
99	0.2311568497
100	0.2304892844
101	0.2298574407
102	0.2282609422
103	0.227213874
104	0.2250869616
105	0.2245449236
106	0.2239486974
107	0.2218945819
108	0.2208707241
109	0.2199798093
110	0.2188580299
111	0.218194845
112	0.2178219687
113	0.2165968277
114	0.2155542789
115	0.2141462663
116	0.2135667101
117	0.2129885765
118	0.2124185781
119	0.2119556792
120	0.2111623466
121	0.2104362115
122	0.2096180985
123	0.2087056221
124	0.2077945637
125	0.2070211837
126	0.2065935142
127	0.2056777735
128	0.20507792
129	0.2047406046
130	0.2043459026
131	0.2028686248
132	0.2021887612
133	0.2010993631
134	0.2007238133
135	0.1994697329
136	0.1988986372
137	0.1981250361
138	0.1976954528
139	0.197272928
140	0.1968240236
141	0.1962862958
142	0.1959428995
143	0.195428736
144	0.1948190102
145	0.1944417554
146	0.1941432304
147	0.1934613834
148	0.1930617869
149	0.192452275
150	0.191986743
151	0.1916051504
152	0.1912505827
153	0.1899502262
154	0.1892767982
155	0.1887997993
156	0.1883515416
157	0.1880061115
158	0.1876104904
159	0.1871975925
160	0.1859934264
161	0.1855542351
162	0.1850570864
163	0.183905223
164	0.1831196245
165	0.1826196369
166	0.1822647045
167	0.1818263005
168	0.1816270282
169	0.1809771521
170	0.1805709915
171	0.1799091315
172	0.17952513
173	0.1791647895
174	0.1785823609
175	0.1780082966
176	0.1774982133
177	0.1770845737
178	0.1764617425
179	0.1759084079
180	0.1754423696
181	0.1751317119
182	0.1747131296
183	0.1744295326
184	0.1741787736
185	0.1739427104
186	0.1734776405
187	0.1728942532
188	0.1724759921
189	0.1721005214
190	0.1715778974
191	0.1713057292
192	0.1710478423
193	0.1706333165
194	0.1701945714
195	0.1698744628
196	0.1696849929
197	0.1692772528
198	0.1689727388
199	0.1687070102
200	0.168437092
201	0.1677860408
202	0.1673634218
203	0.1664010118
204	0.1660552868
205	0.1659290599
206	0.1656725854
207	0.1654853443
208	0.1651811202
209	0.1647317428
210	0.1645508486
211	0.1642698176
212	0.164015061
213	0.1636389497
214	0.163386366
215	0.1632069496
216	0.1628377265
217	0.1622901623
218	0.1620427654
219	0.1618030542
220	0.1615009366
221	0.161011985
222	0.160731654
223	0.1604928675
224	0.1601948373
225	0.1598980864
226	0.1597029614
227	0.1594257188
228	0.1592082037
229	0.1588044473
230	0.1586091361
231	0.1582864763
232	0.1579568675
233	0.1574615821
234	0.1571466304
235	0.1569761312
236	0.156793837
237	0.1564334808
238	0.1561139402
239	0.1556943486
240	0.155472325
241	0.1552605134
242	0.154922791
243	0.154494944
244	0.1542455201
245	0.1540625971
246	0.1537335023
247	0.1535030158
248	0.1532751511
249	0.1530612239
250	0.152874733
251	0.1527419333
252	0.1525261944
253	0.1521289115
254	0.1517868452
255	0.1515240939
256	0.1512390411
257	0.1509408489
258	0.1506493996
259	0.1502385289
260	0.1500304979
261	0.1498000723
262	0.1495831771
263	0.1492410139
264	0.149049774
265	0.1488241193
266	0.1486207178
267	0.1484283761
268	0.1482135017
269	0.1478578902
270	0.1476879632
271	0.1474535539
272	0.1472888444
273	0.1469598917
274	0.1466536129
275	0.1464701682
276	0.1461439429
277	0.1459405215
278	0.1457674025
279	0.1454355929
280	0.1452005992
281	0.1449977849
282	0.1447968556
283	0.1445101478
284	0.1442479967
285	0.1440881178
286	0.1439530778
287	0.1438429639
288	0.1434363047
289	0.1432537266
290	0.1430922526
291	0.1427915277
292	0.142549744
293	0.1423836849
294	0.1422449223
295	0.141997349
296	0.1418661079
297	0.1417127093
298	0.1415943905
299	0.1413859637
300	0.1410781693
301	0.1409520092
302	0.1408424688
303	0.1406814733
304	0.1405440519
305	0.1402830833
306	0.1400652091
307	0.1398819752
308	0.1397597522
309	0.1396302124
310	0.1394886894
311	0.1392650238
312	0.1390600801
313	0.1387673549
314	0.1385898019
315	0.1384526203
316	0.1383140189
317	0.1381316284
318	0.1379399275
319	0.1374745012
320	0.1372961196
321	0.1371129946
322	0.1368399168
323	0.1366548356
324	0.1364604522
325	0.1362389054
326	0.1360913949
327	0.13593649
328	0.1358142367
329	0.1355921643
330	0.1354722381
331	0.1353568198
332	0.1352047203
333	0.1349944472
334	0.1348599501
335	0.1345457886
336	0.1343202434
337	0.1341841026
338	0.1340676282
339	0.1338541795
340	0.1337554206
341	0.1336458925
342	0.1334703998
343	0.1333304856
344	0.1330814926
345	0.1328585255
346	0.132757885
347	0.1325530264
348	0.1323793006
349	0.1321014835
350	0.131920687
351	0.1317799165
352	0.1316092054
353	0.1314708106
354	0.1312346582
355	0.1310834864
356	0.1310042075
357	0.1308068678
358	0.130695513
359	0.1306254782
360	0.1304527196
361	0.13030642
362	0.1300446681
363	0.1299580066
364	0.1298439388
365	0.129620332
366	0.1294595454
367	0.1293213188
368	0.1291439814
369	0.1289975448
370	0.1288101187
371	0.1286767326
372	0.1286131453
373	0.1285070892
374	0.1284146742
375	0.1282366475
376	0.1281662162
377	0.1280600192
378	0.1279250404
379	0.1278219736
380	0.1276250764
381	0.1274306269
382	0.1272970295
383	0.1271660979
384	0.1270608782
385	0.1269855506
386	0.1268442581
387	0.1267052984
388	0.1265622204
389	0.1263513384
390	0.126199169
391	0.1260758645
392	0.1257721046
393	0.1254961
394	0.1253133632
395	0.1251674015
396	0.1250374605
397	0.124919567
398	0.1246839562
399	0.1245856977
400	0.1243080699
401	0.1241554131
402	0.1239477506
403	0.1238436163
404	0.1236225766
405	0.123504152
406	0.1232109938
407	0.1230087265
408	0.1228369382
409	0.1226378886
410	0.1223993991
411	0.1222685629
412	0.1220947462
413	0.1219747145
414	0.1217393181
415	0.1215732334
416	0.1213867047
417	0.1209687204
418	0.120739866
419	0.1204135143
420	0.1203129993
421	0.1200964203
422	0.1199788522
423	0.1198959441
424	0.1197332071
425	0.1195811927
426	0.1195214035
427	0.1193725467
428	0.1192788388
429	0.1191880115
430	0.1191209125
431	0.1190764444
432	0.1189681102
433	0.1187238854
434	0.118530906
435	0.1184192633
436	0.1182856677
437	0.1180578519
438	0.1178027719
439	0.1176714895
440	0.1175768538
441	0.117439764
442	0.1173669448
443	0.1172564797
444	0.1171087751
445	0.1169416883
446	0.1168222652
447	0.1166515939
